,PLAYER,SEASON,season year,AGE,POS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
10,Fadi Farhi,0,2016,28,PF,15.3,2,6.5,0.308,0,0,0,2,6.5,0.308,0.308,1,2.5,0.4,4.5,2,6.5,0.5,0.3,0.8,0,2,5,15.9,0.329,0,0.385,32.3,15.6,24.3,5.2,0.8,4.6,0,22.4,0,0.1,0.1,0.059,0.7,-3.1,-2.4,0
11,Fadi Farhi,0,2016,28,PF,3,0.3,0.3,1,0,0,0,0.3,0.3,1,1,0,0.5,0,0.3,0.3,0.5,0,0,0.5,0,1,0.5,8.9,0.532,0,2,9.2,8.9,9.1,0,0,13.1,0,7.1,0,0,0,0.113,-6.2,3.6,-2.6,0
12,Uri Urieli,1,2022,29,SF,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.9,2,0.441,0.467,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5,5.6,0.457,0.443,0.131,7.1,10.9,9,3.2,0.5,1.3,9.8,15.3,-0.2,0.1,-0.1,-0.015,-5.6,-3.4,-9,-0.4
13,Uri Urieli,1,2020,27,SF,14.8,1.8,4.3,0.427,0.4,1.6,0.215,1.5,2.7,0.557,0.468,0.6,0.8,0.71,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6,8.7,0.493,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5
14,Ido Itzhak,0,2022,25,PF,7,0.8,2.5,0.3,0,0,0,0.8,2.5,0.3,0.3,0.8,1,0.75,1.8,1.5,3.3,0.3,0.5,0,0.3,0.8,2.3,15.9,0.383,0,0.4,27.1,24.3,25.7,4.9,3.5,0,7.8,19.6,0,0,0.1,0.088,-1.9,-3,-4.9,0
15,Ido Itzhak,0,2022,25,PF,6,0.7,2,0.333,0,0.7,0,0.7,1.3,0.5,0.333,0,0.3,0,1.7,2.3,4,0,0,0,1,0,1.3,5.7,0.311,0.333,0.167,31.3,42.4,36.9,0,0,0,31.8,23.3,-0.1,0,-0.1,-0.183,-7.7,-8.3,-16.1,-0.1
16,Ido Itzhak,1,2021,24,PF,10.5,2.2,3.8,0.588,0.1,0.3,0.167,2.2,3.4,0.629,0.596,0.7,0.7,1,1.5,3.5,5,0.8,0.3,0.3,0.5,0.9,5.2,23.5,0.638,0.088,0.191,16.6,35,26.3,10.9,1.3,2.3,10.9,19.1,0.6,0.3,0.9,0.227,2.7,0,2.7,0.2
17,David David,0,2017,29,SF,6.8,0.2,1.1,0.214,0,0.2,0,0.2,0.8,0.273,0.214,0.4,0.7,0.556,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0.8,3.1,0.306,0.214,0.643,5,13.5,9.3,8.2,2.7,0.9,18.2,10.5,-0.1,0.1,-0.1,-0.032,-7.5,0.7,-6.7,-0.1
18,David David,0,2010,22,SG,16.5,2.5,5.4,0.475,0.6,0.8,0.778,1.9,4.5,0.42,0.534,1.6,2.6,0.621,1.4,1.6,3,0.6,0.6,0.1,0.9,1.2,7.4,16.2,0.564,0.153,0.492,9.3,11.6,10.4,6.4,2,0.4,12.2,20.4,0.3,0.1,0.4,0.108,1.7,-0.1,1.6,0.2
19,Guy Ben-Shabat,0,2007,32,PG,5,0,1,0,0,0.5,0,0,0.5,0,0,1,2,0.5,0.5,0,0.5,1.5,1,0,1.5,0,1,6.6,0.266,0.5,2,12.1,0,6,41.1,10.6,0,44.4,31.2,-0.1,0,-0.1,-0.309,-7,2.3,-4.7,0
20,Noam Nahum,0,2021,38,C,7.2,0.8,3.2,0.25,0,0.2,0,0.8,3,0.267,0.25,1,1.8,0.556,1.4,2.6,4,0.6,0,0.4,0.2,0.6,2.6,,,,,,,,,,,,,,,,,,,,
21,Liel Langer,0,2008,25,PG,6.3,0.5,1.3,0.4,0.3,0.8,0.333,0.3,0.5,0.5,0.5,0.3,0.5,0.5,0,0.3,0.3,1.8,0,0,0.3,0.3,1.5,12.5,0.51,0.6,0.4,0,4.7,2.3,44.3,0,0,14.5,12.7,0,0,0,0.078,1.5,-1.7,-0.2,0
22,Shimon Shavit,0,2019,33,SG,3.8,0,1.5,0,0,0.8,0,0,0.8,0,0,0,0,0,0.3,0.3,0.5,0,0.3,0,0.3,0,0,-11.9,0,0.5,0,7,6.7,6.9,0,3.1,0,14.3,19.3,-0.1,0,-0.1,-0.408,-14.8,-4.8,-19.6,-0.1
23,Chaim Assayag,0,2021,29,SG,12.6,0.4,2.8,0.143,0.2,1.6,0.125,0.2,1.2,0.167,0.179,0.2,0.4,0.5,1.4,1.6,3,0.8,0.6,0.2,0.4,0.8,1.2,4.2,0.202,0.571,0.143,12.9,13.3,13.2,7.4,2.3,1.4,11.8,11.7,-0.1,0.1,-0.1,-0.043,-5.2,-0.9,-6.1,-0.1
24,Fadi Dahan,0,2017,24,SF,8,2,4.5,0.444,0.5,1.5,0.333,1.5,3,0.5,0.5,0,0,0,1,2.5,3.5,1,0,0,0.5,1,4.5,18.5,0.5,0.333,0,13.2,35,23.8,23,0,0,10,27.5,0,0,0,0.076,-0.1,-3.1,-3.2,0
25,Gil Cohen,0,2022,24,SF,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,-0.5,0,1,0,0,13.2,6.6,27.9,0,0,0,10.6,0,0,0,-0.138,-6.2,-1.8,-8,0
26,Gal Erez,1,2021,35,PF,9,0.4,1.5,0.235,0.4,1.3,0.286,0,0.3,0,0.353,0.5,0.5,0.833,0.3,0.6,0.9,0.2,0.3,0.2,0.3,0.6,1.5,4,0.433,0.824,0.353,3.4,7.6,5.6,2.5,1.5,1.8,13.3,9.8,-0.1,0.1,0.1,0.025,-5.6,-1.5,-7,-0.1
27,Gal Erez,1,2020,34,PF,18.2,1.5,3.7,0.396,1.3,3.2,0.415,0.2,0.5,0.286,0.573,0.5,0.6,0.875,0.4,2.2,2.5,0.8,0.5,0.1,0.7,1.1,4.8,8,0.602,0.854,0.167,2.3,12.3,7.4,5.3,1.4,0.4,14.9,10.7,0.1,0.2,0.3,0.061,-1.8,0.6,-1.2,0
28,Gal Erez,1,2010,24,PF,32.3,4.4,10.2,0.431,1.1,3.4,0.331,3.3,6.8,0.481,0.487,2.3,3,0.769,1.9,5.3,7.3,2,0.7,0.8,1,2.9,12.3,13.7,0.532,0.337,0.299,6.5,18.6,12.5,8.6,1.1,1.7,8.3,16.6,1.8,0.8,2.5,0.085,-0.3,-1.3,-1.6,0.2
29,Uriel Levi,0,2010,24,SF,15,1,3,0.333,0,0,0,1,3,0.333,0.333,0,0,0,1,0,1,0,0,0,1,1,2,-1.7,0.333,0,0,7.9,0,3.8,0,0,0,25,12,0,0,0,-0.104,-7.6,-4.8,-12.4,0
30,Tal Tzuk,0,2011,35,PG,8.8,0.5,1.3,0.4,0,0.5,0,0.5,0.8,0.667,0.4,0.5,0.5,1,0,1.3,1.3,0.5,0,0,0.3,0,1.5,6.7,0.51,0.4,0.4,0,16.5,8.2,7.9,0,0,14.5,9.1,0,0,0,0.044,-4.8,-1.1,-6,0
31,Uri Peleg,1,2018,23,SG,10.5,1,1.8,0.571,0.8,0.8,1,0.3,1,0.25,0.786,0.5,0.5,1,0.3,0.8,1,0,0.3,0.3,1.3,3,3.3,3.5,0.825,0.429,0.286,2.7,8,5.3,0,1.2,2,38.8,13.4,0,0,0,-0.009,-8.3,-0.7,-9,-0.1
32,Zohar Zrubavel,1,2017,22,SG,15.3,2.8,5.1,0.557,0.3,1.1,0.308,2.5,4,0.625,0.59,1.9,2.7,0.719,0.6,1.8,2.3,1.9,0.3,0.3,1.2,0.6,7.9,18.6,0.633,0.213,0.525,4.1,11.9,8.1,20.8,1,1.6,15.7,20.7,0.4,0.1,0.5,0.131,2,-0.4,1.6,0.2
33,Yakir David,0,2022,25,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
34,Shay Ifrah,0,2014,26,PF,2.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,-5.3,0,0,0,0,23,11.2,0,0,0,0,8.9,0,0,0,-0.179,-8.7,-4.4,-13.1,0
35,Moshe Mizrahi,1,2022,23,PG,11.8,0.8,2.9,0.289,0.8,2.8,0.278,0.1,0.2,0.5,0.421,0.2,0.2,1,0.6,1.1,1.7,1,0.5,0.2,0.3,1.1,2.6,,,,,,,,,,,,,,,,,,,,
36,Yan Cohen,0,2009,33,PF,7.7,0.7,3,0.222,0,1.3,0,0.7,1.7,0.4,0.222,0,0.3,0,1.3,2,3.3,1,0,0,0.7,0.3,1.3,4.3,0.212,0.444,0.111,21,30.7,25.9,19.3,0,0,17.5,24.1,-0.1,0,-0.1,-0.166,-5.6,-2.2,-7.7,0
37,Bar Barak,1,2015,26,SF,9.5,1.3,3.3,0.385,0.6,1.8,0.357,0.6,1.5,0.417,0.481,0.1,0.3,0.5,0.5,1.3,1.8,1,0.5,0.3,0.6,1.1,3.3,12.1,0.484,0.538,0.077,6.2,14.6,10.5,16,2.7,2.2,15.7,19.2,0,0.1,0.1,0.068,-1.3,0.8,-0.5,0
38,Amir Arzi,1,2021,28,SG,26.9,3.1,7.3,0.418,1.8,4.8,0.375,1.3,2.5,0.5,0.541,0.8,1.1,0.706,0.2,2.1,2.3,2.6,1.2,0.1,0.9,2.1,8.7,10.3,0.558,0.655,0.155,0.8,9,4.9,12.5,2.2,0.5,10.6,14.2,0.3,0.4,0.7,0.081,-2.1,0.4,-1.7,0
39,Danny Levi,0,2017,24,SF,3,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-9.9,0,1,0,0,0,0,0,0,0,0,7.6,0,0,0,-0.191,-13.2,-5.7,-18.8,0
40,Danny Levi,1,2016,23,SF,14.5,1.2,3.3,0.357,0.6,1.9,0.325,0.6,1.4,0.4,0.45,0.6,0.8,0.765,0.4,1.1,1.5,0.7,0.3,0.3,0.3,1.9,3.6,7.1,0.49,0.571,0.243,2.9,8.5,5.6,7,1.2,1.6,7.2,12,0.2,0.1,0.3,0.049,-3.6,-1,-4.7,-0.2
41,Itamar Ivgi,0,2022,26,SF,16.3,2.8,6.3,0.44,1,2.5,0.4,1.8,3.8,0.467,0.52,0,0,0,1.5,2.3,3.8,0,0,0.3,0,1,6.5,,,,,,,,,,,,,,,,,,,,
42,Itamar Ivgi,0,2019,23,SF,7.2,1.3,2.7,0.5,0.5,1,0.5,0.8,1.7,0.5,0.594,0.3,0.3,1,0.3,1,1.3,0,0.3,0,0.3,0.5,3.5,,,,,,,,,,,,,,,,,,,,
43,Nimrod Noy,0,2017,21,PF,3.3,0,1,0,0,0.3,0,0,0.7,0,0,0,0,0,0,0.7,0.7,0,0,0,0.3,0.3,0,-17.6,0,0.333,0,0,24.4,11.6,0,0,0,25,18.9,-0.1,0,-0.1,-0.473,-19.7,-6.2,-25.9,-0.1
44,Eitan Erez,1,2012,23,PG,22.3,2.1,5.9,0.351,0,0.1,0,2.1,5.8,0.355,0.351,0.7,1.2,0.579,1.1,2.9,3.9,3.7,1,0.2,1.2,1.9,4.8,10.5,0.376,0.011,0.202,5.6,15,10.3,26.7,2.4,0.7,15.7,16,-0.2,0.4,0.2,0.027,-3.2,1.8,-1.4,0.1
45,Eitan Erez,0,2012,23,PG,6.5,1,2.5,0.4,0,0,0,1,2.5,0.4,0.4,0,0,0,1,1,2,1,0.5,0,0,0.5,2,21,0.4,0,0,16.9,18.2,17.5,27.8,4,0,0,17.3,0,0,0,0.161,2.8,3.1,5.9,0
46,Pavel Porat,1,2015,29,C,9.9,0.8,1.7,0.444,0,0,0,0.8,1.7,0.444,0.444,1.3,1.4,0.87,1.1,1.3,2.4,0.3,0.1,0.9,0.4,1.1,2.8,16,0.593,0,0.852,12.5,14.6,13.5,3.4,0.6,7.7,13.9,12.2,0.4,0.2,0.5,0.165,-0.5,1.2,0.8,0.1
47,Haim Hirsch,1,2008,32,SF,4.9,0.6,2,0.286,0.6,1.9,0.308,0,0.1,0,0.429,0,0,0,0,0.3,0.3,0,0.1,0,0.4,0.6,1.7,0.1,0.429,0.929,0,0,6.9,3.4,0,1.6,0,17.6,22.7,-0.1,0,-0.1,-0.112,-7.7,-2.7,-10.5,-0.1
48,Guy Gavriel,0,2022,29,C,14.1,2.4,4,0.593,0,0,0,2.4,4,0.593,0.593,1.1,2,0.535,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,5.8,17.3,0.596,0,0.49,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,0.9,0.9,1.8,0.17,-1.7,0.4,-1.3,0.1
49,Erez Cohen,0,2012,27,PG,7.5,1,3.5,0.286,0.5,2.3,0.222,0.5,1.3,0.4,0.357,0,0,0,0,0.5,0.5,0.3,0,0,1.3,1,2.5,-7.3,0.357,0.643,0,0,7.7,3.8,5.2,0,0,26.3,28.4,-0.2,0,-0.2,-0.315,-12.7,-6.8,-19.5,-0.1
50,Erez Cohen,1,2008,23,PG,14.8,1.3,4.8,0.263,0.8,2.8,0.294,0.4,1.9,0.217,0.351,2.5,2.6,0.968,0.1,1.5,1.6,1.6,0.5,0,1.3,1.7,5.8,9,0.495,0.596,0.544,0.7,12.4,6.4,17.2,1.8,0,18.5,23.2,-0.1,0.1,0,-0.006,-3.5,-1.3,-4.8,-0.1
51,Yaniv Cohen,0,2008,23,SF,6.7,0.3,1.3,0.25,0,0.7,0,0.3,0.7,0.5,0.25,0,0,0,0,0.7,0.7,0.3,0.7,0,0.3,0.3,0.7,,,,,,,,,,,,,,,,,,,,
52,Yaniv Cohen,0,2008,23,SF,23.8,2.8,5.3,0.531,1,2.5,0.4,1.8,2.8,0.647,0.625,1.3,2.2,0.615,1.3,2.7,4,0.8,0.3,0,1.2,3,8,,,,,,,,,,,,,,,,,,,,
53,Yaniv Cohen,0,2008,23,SF,2.3,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0,0,0,0,0.3,0.3,0,0.3,0,0.3,0.8,1,,,,,,,,,,,,,,,,,,,,
54,Yaniv Cohen,0,2008,23,SF,15.2,1.6,4,0.389,0.3,1.4,0.231,1.2,2.6,0.478,0.431,1,1.1,0.9,1.1,1.9,3,1.2,0.6,0.2,0.6,1.9,4.4,,,,,,,,,,,,,,,,,,,,
55,Yaniv Levi,1,2012,31,SF,14.9,1,3.2,0.311,0.7,2.1,0.333,0.3,1.1,0.267,0.422,0.1,0.3,0.571,0.6,1.4,2,0.4,0.5,0.1,0.4,1.5,2.9,6,0.43,0.667,0.078,4.8,10.9,7.8,3.8,1.9,0.6,9.7,11.4,0,0.3,0.3,0.029,-3.3,-0.3,-3.6,-0.2
56,Chaim Cohen,0,2022,32,PG,27,2,5,0.4,0,0,0,2,5,0.4,0.4,3,3,1,0,4,4,7,2,0,0,3,7,18.1,0.554,0,0.6,0,16.2,8.2,33.9,3.7,0,0,10.4,0.1,0,0.1,0.216,-1.8,4.7,2.9,0
57,Eliran Elisha,0,2022,26,PG,13.9,1.8,4.3,0.416,0.5,1.5,0.345,1.3,2.8,0.455,0.477,0.7,1.1,0.632,0.4,1.5,1.9,2.5,0.7,0,1,1.1,4.8,11.8,0.501,0.357,0.247,3.1,11.4,7.4,26,2.5,0.2,17.4,18.2,0.1,0.7,0.7,0.069,-2.6,1.1,-1.6,0.1
58,Moshiko Moshe,1,2018,28,PG,14.6,1.9,5.1,0.375,0.6,2.4,0.273,1.3,2.8,0.462,0.438,0.7,0.7,1,0.4,1.9,2.2,3.1,0.4,0.3,1.3,0.8,5.2,12.7,0.478,0.458,0.139,2.9,14.8,8.9,31.1,1.5,1.7,19.1,20.8,0,0.1,0.1,0.026,-1.2,-2.2,-3.4,-0.1
59,Rafi Rosenfeld,0,2022,30,PG,13,2,5,0.4,0.8,3.4,0.235,1.2,1.6,0.75,0.48,1.6,1.6,1,0,1.6,1.6,1.6,0.2,0,0.8,1,6.4,13,0.561,0.68,0.32,0,13.7,6.8,18.6,0.8,0,12.3,22.5,0.1,0.1,0.1,0.091,-2.7,-1.9,-4.6,0
60,Haim Dov,0,2018,32,SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
61,Nir Naveh,0,2022,22,PG,26.7,4.4,11.8,0.372,1.3,4.4,0.292,3.1,7.3,0.42,0.427,2.8,4,0.701,0.8,2.3,3.1,3.9,1,0.4,2.4,2.2,12.9,,,,,,,,,,,,,,,,,,,,
62,Yuval Avraham,0,2022,24,SF,21.2,3.6,7.8,0.457,0.7,2.2,0.3,2.9,5.6,0.52,0.5,0.8,1.4,0.538,1.3,4,5.3,1.1,1,1.2,1,2.8,8.6,,,,,,,,,,,,,,,,,,,,
63,Yuval Avraham,0,2022,24,SF,3,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,0,0.5,0.5,1,0.5,0.5,0,1,0.5,1,,,,,,,,,,,,,,,,,,,,
64,Dror Levi,0,2018,25,PG,23.8,2,4.2,0.476,0,0.4,0,2,3.8,0.526,0.476,0.8,1.2,0.667,1,2.4,3.4,1.8,1.6,0.4,1.6,2,4.8,9.2,0.508,0.095,0.286,4.8,11.9,8.3,11.1,3.4,1.6,25.3,11.9,-0.1,0.1,0.1,0.024,-5,1,-4,-0.1
65,Dror Levi,1,2017,24,PG,12.2,1.5,3.5,0.435,0.1,0.5,0.143,1.5,3,0.487,0.446,0.7,1,0.692,0.6,1.1,1.7,1.2,0.7,0,0.4,0.9,3.8,12.5,0.483,0.152,0.283,5.5,9.7,7.6,15.4,2.8,0,8.8,16.1,0.1,0.2,0.3,0.081,-3.4,1.1,-2.3,0
66,Dror Levi,0,2017,24,PG,6.6,0.7,2,0.357,0,0.4,0,0.7,1.6,0.455,0.357,0.3,0.4,0.667,0,0.6,0.6,0.7,0.4,0.1,0.4,0.6,1.7,5.9,0.392,0.214,0.214,0,9,4.8,13.9,3.1,1.7,16.4,17.2,-0.1,0.1,0,-0.018,-8.1,-0.3,-8.4,-0.1
67,Dror Levi,0,2016,23,PG,27.7,2.2,6.3,0.342,0,0.8,0,2.2,5.5,0.394,0.342,0.5,0.7,0.75,1.3,2.7,4,3.3,1.5,0.5,1.5,1.8,4.8,8.3,0.365,0.132,0.105,5.3,11.5,8.2,17.6,2.8,1.7,18.5,13.2,-0.2,0.2,0,-0.007,-4.9,0.9,-4,-0.1
68,Zion Zidon,1,2019,23,PF,23.5,2.8,6.6,0.427,1.4,3.8,0.369,1.4,2.8,0.505,0.533,1.2,1.5,0.84,1.2,3.4,4.6,1.5,0.4,1,1.1,2.4,8.3,12.4,0.571,0.578,0.222,5.8,16.5,11.1,9.4,0.9,3.9,13.3,15.9,0.6,0.9,1.5,0.09,-1.1,0.1,-1.1,0.2
69,Udi Goren,1,2016,23,PG,1.2,0.4,0.4,1,0,0,0,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8,29.1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0.221,5.7,0.2,5.8,0
70,Udi Goren,1,2015,22,PG,10.6,1.9,4.6,0.42,0.5,1.3,0.35,1.5,3.3,0.449,0.471,1,1.2,0.833,0.2,1,1.2,1,0.3,0,0.8,0.4,5.3,14.5,0.52,0.29,0.261,2.2,10.8,6.5,17,1.3,0,13.5,25.6,0.1,0.1,0.2,0.067,-0.6,-1.7,-2.2,0
71,Yaakov Levi,1,2016,23,SG,19.9,2,4.9,0.406,0.9,2.3,0.375,1.1,2.6,0.432,0.493,0.8,1.5,0.524,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,5.6,9.6,0.505,0.464,0.304,3.1,16.5,9.5,7.7,1.8,0.6,12.3,14.1,0,0.2,0.2,0.033,-2.5,0,-2.5,0
72,Shaked Shalit,0,2022,34,SG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
73,Yuval Cohen,1,2008,23,PG,11.5,1.3,3.2,0.426,0.3,0.8,0.346,1.1,2.3,0.453,0.47,0.7,0.9,0.793,0.4,0.6,1,1.1,0.5,0,0.6,0.6,3.7,,,,,,,,,,,,,,,,,,,,
74,Hai Hershkovitz,0,2022,24,SF,15.3,1.7,4.7,0.357,0.7,2,0.333,1,2.7,0.375,0.429,0.7,0.7,1,2,3,5,1,0,0.3,0,2.3,4.7,,,,,,,,,,,,,,,,,,,,
75,Itai Goldstein,0,2022,25,SF,21.5,5,7.5,0.667,0.5,1.5,0.333,4.5,6,0.75,0.7,1,1.5,0.667,1,2,3,1.5,0.5,0.5,0,2.5,11.5,,,,,,,,,,,,,,,,,,,,
76,Itai Goldstein,0,2021,24,SF,21.8,4.8,8.3,0.576,1,3.3,0.308,3.8,5,0.75,0.636,0.3,1,0.25,1.3,4,5.3,1.3,0.5,1,0.8,2.8,10.8,,,,,,,,,,,,,,,,,,,,
77,Yoav Levi,0,2019,24,PG,19.6,3,6.1,0.491,1,2.8,0.36,2,3.3,0.6,0.573,1.2,1.8,0.688,0.3,1.8,2.1,2.6,0.9,0.3,1.2,1.7,8.2,15.3,0.596,0.455,0.291,1.8,10.6,6,20,2.3,1.5,15.1,18.1,0.2,0.1,0.3,0.082,0.1,-0.8,-0.7,0.1
78,Oded Cohen,0,2021,25,SF,17,2.5,8,0.313,1.5,6,0.25,1,2,0.5,0.406,0,0,0,1,1.5,2.5,1,0,0,0,1,6.5,6.5,0.406,0.75,0,6,9.8,7.8,8.8,0,0,0,20,0,0,0,-0.043,-3.4,-4.8,-8.2,-0.1
79,Oded Cohen,0,2021,25,SF,2,0.3,0.7,0.5,0,0,0,0.3,0.7,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.7,6.2,0.5,0,0,0,0,0,0,0,0,0,14.5,0,0,0,-0.017,-4.4,-3.6,-8,0
80,Oded Cohen,1,2019,23,SG,13.6,1.7,4.1,0.423,1.1,2.7,0.412,0.6,1.4,0.444,0.558,0.4,0.5,0.889,0.2,1.4,1.6,0.7,0.3,0.1,0.3,1.4,5,10.4,0.58,0.654,0.115,1.6,11.3,6.4,6.8,1.1,0.7,5.7,14.1,0.3,0.1,0.4,0.078,-1.3,-1.2,-2.5,0
81,Tomer Tzion,0,2022,24,PG,2,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
82,Tomer Tzion,0,2022,24,PG,6.3,0,2.3,0,0,0.3,0,0,2,0,0,0.7,0.7,1,0.3,0.7,1,1.7,0.3,0,1,0,0.7,,,,,,,,,,,,,,,,,,,,
83,Barak Barakat,1,2014,29,SF,15.5,2,4.8,0.414,1.1,2.8,0.384,0.9,2.1,0.455,0.523,0.9,1.2,0.754,0.2,1.8,2,0.6,0.5,0.1,0.6,1.3,5.9,10.9,0.555,0.57,0.238,1.7,13,7.4,5.9,1.6,0.7,10.4,17.5,0.4,0.7,1.1,0.064,-1,-0.4,-1.4,0.1
84,Barak Barakat,0,2014,29,SF,8,0.8,1.3,0.625,0.5,0.8,0.6,0.3,0.5,0.667,0.813,0.3,0.7,0.5,0.2,0.7,0.8,0.3,0.2,0,0.2,0.5,2.5,13.3,0.768,0.625,0.5,2.4,9.3,5.9,6.8,1.1,0,9.3,10.3,0.1,0.1,0.2,0.174,0.6,0.4,1.1,0
85,Barak Barakat,1,2012,27,SF,23,3.5,7.9,0.44,1.7,4.4,0.387,1.8,3.5,0.508,0.549,0.6,1.1,0.579,0.7,2.7,3.4,0.6,0.6,0.1,0.8,2.1,9.3,12.8,0.555,0.56,0.142,3.4,13.4,8.4,4.2,1.5,0.4,8.4,17.8,0.5,0.2,0.7,0.09,-0.1,-1,-1.1,0.1
